dataset/Cou001_The same as you..wav|同じで
dataset/Cou001_Does it taste good?.wav|おいしい?
dataset/Cou001_Earl Grey?.wav|アールグレイ?
dataset/Cou002_I can’t drink it, but I really love it....wav|本当は好きなのに
dataset/Cou002_I don’t like milk..wav|牛乳は嫌い
dataset/Cou003_Be proud of it?.wav|ごり
dataset/Cou002_It upsets my stomach..wav|お腹がゴロゴロするの
dataset/Cou003_Are there different kinds of milk as well?.wav|牛乳にも種類があるの?
dataset/Cou003_Different kinds?.wav|違う種類?
dataset/Cou003_I’d like to ask you things as well!.wav|私も先生からいろんなお話聞きたい
dataset/Cou002_What’s it called?.wav|なんて牛乳
dataset/Cou004_...It's not okay?.wav|See ya.
dataset/Cou003_What’s that?.wav|なぁに?
dataset/Cou004_Hello..wav|こんにちは
dataset/Cou003_I have weird dreams. Is that different, too?.wav|私は変な夢見るから違っているの?
dataset/Cou003_People, too?.wav|人間も?
dataset/Cou004_I know it, but I don’t want to play that..wav|知ってるけど、やりたくないよ
dataset/Cou004_Ah... I thought so..wav|やっぱり そうなんだ
dataset/Cou004_I don’t like painting... Maybe....wav|好きじゃない 多分
dataset/Cou003_Are there different kinds of people as well?.wav|人間は種類があるの?
dataset/Cou004_I’d like to talk some more..wav|もっとお話を聞かせてほしい
dataset/Cou004_Not especially..wav|別に
dataset/Cou004_Okay....wav|うん
dataset/Cou002_That smells good..wav|いいにおい
dataset/Cou004_What’s that?.wav|何それ?
dataset/Cou004_Touko, hello..wav|朗古先生、こんにちは。
dataset/Cou004_What kind of doctor are you?.wav|先生は何の先生なの?
dataset/Cou004_Whatever. About you..wav|なんでもいい。 東子先生のこと。
dataset/Cou005_But I’m ashamed..wav|だって恥ずかしい
dataset/Cou005_Maybe....wav|多分
dataset/Cou005_I talk to my stuffed animals..wav|ぬいぐるみさんたちとお話をするの
dataset/Cou005_No....wav|Hmm?
dataset/Cou005_Do I have to tell you?.wav|言わなきゃダメ?
dataset/Cou005_Normal..wav|2
dataset/Cou005_I’d rather stay at home than go out and do something..wav|何かを稽古するよりも、お家にいる方がいいの。
dataset/Cou005_I have friends..wav|いるよ
dataset/Cou005_That’s a secret..wav|秘密
dataset/Cou005_Why is that weird?.wav|なんで変なの?
dataset/Cou005_What kind of stuffed animal?.wav|何のぬいぐるみ?
dataset/Cou005_Me too. I talk to my animals. Is that normal?.wav|私も話してる 普通?
dataset/Cou005_Thought what?.wav|댓글이?
dataset/Cou006_How did you become a doctor?.wav|どうやって先生になったの?
dataset/Cou005_Yes....wav|Mmm.
dataset/Cou005_Yes, but everyone’s busy with cram school. The only place I go is here....wav|うん。でも、みんな塾とかを稽古で忙しいの。私はここぐらいだから。
dataset/Cou006_Tired?.wav|疲れてるの?
dataset/Cou006_Really?.wav|本当?
dataset/Cou006_We couldn't talk that much about you last month..wav|先生のこと? 先月はあんまり聞けなかった。
dataset/Cou006_Okay!.wav|うん!
dataset/Cou006_How busy?.wav|そのくらい?
dataset/Cou005_It’s okay; don’t worry about it..wav|いいよ、そんなに気を使わなくても
dataset/Cou007_Japanese and physical education..wav|大工と国語
dataset/Cou007_What is university like?.wav|大学ってどんなところ?
dataset/Cou007_No, I don’t like physical education..wav|違うの、体育が嫌いなの
dataset/Cou007_Do you like to study, Sensei?.wav|先生は勉強が好きなの?
dataset/Cou007_Not really..wav|あんまり好きじゃない
dataset/Cou007_That’s amazing, Touko-sensei!.wav|すごいんだ、東吾先生
dataset/Cou007_The metal beam..wav|絶望
dataset/Cou006_Yes, and you?.wav|うん。先生は?
dataset/Cou007_Yes, both..wav|どっちも好き
dataset/Cou007_Yes..wav|うん
dataset/Cou007_I like to spin around..wav|私、ぐるぐる回るの好きだよ
dataset/Cou008_...I’m sorry..wav|ごめんなさい
dataset/Cou008_Okay..wav|うん。
dataset/Cou008_A splotch..wav|シミ
dataset/Cou008_But that’s boring..wav|でもつまんない
dataset/Cou008_Is it angry? Is it also crying?.wav|怒ってる?それとも泣いてる?
dataset/Cou007_You were an exchange student. Wow!.wav|留学してたの?すごい
dataset/Cou008_What do you see?.wav|先生は何に見えるの?
dataset/Cou008_That's some kind of test, isn't it?.wav|何かのテストなんでしょ?
dataset/Cou008_This is boring..wav|つまんないよ
dataset/Cou009_I’m afraid of being in hot water..wav|お湯の中が怖いの
dataset/Cou009_I like showers..wav|Shilla!
dataset/Cou009_No..wav|其他有
dataset/Cou008_They had that at the last hospital..wav|それ、前の病院でやった
dataset/Cou010_...five thousand?.wav|5000本
dataset/Cou010_But that's not the case..wav|でも違う
dataset/Cou009_I’m not really sure. It feels like I’m being touched all over by something..wav|よくわからない。でも、体に何かが触れてるみたいだから。
dataset/Cou010_I’m not sure..wav|よくわからない
dataset/Cou010_It’s because I’m weird....wav|私、変だから
dataset/Cou010_One thousand needles?.wav|針1000本?
dataset/Cou010_Wouldn’t that hurt?.wav|痛い?
dataset/Cou010_But... the test....wav|でも、テストした。
dataset/Cou010_Not even my friends, or my mother?.wav|友達にも、お母さんにも?
dataset/Cou010_What should I do?.wav|私は何をすればいいの?
dataset/Cou010_You won’t tell anyone?.wav|陽子先生は誰にも言わない?
dataset/Cou011_I wanna do it..wav|ある
dataset/Cou010_Sensei, that's gross!....wav|先生汚い
dataset/Cou011_(in a soft voice) Hello..wav|こんにちは
dataset/Cou011_But this is a hospital, isn’t it?.wav|ここって病院なんでしょ?
dataset/Cou011_I want to be cured..wav|私、治りたい。
